diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
Watermelon Automatic By RQS,Watermelon Automatic,Royal Queen Seeds,100 watt,"BioBizz,",Manual,,Glass Of Water,"LST,Defoliation,",3.98,9,1,17,6,983,1.66,9.35
AUTO CHEESE Fastbuds,Cheese Auto,Fast Buds,310 watt,"BioBizz,",Manual,"Biobizz light mix Grow Medium,",Glass Of Water,,10.76,9,3,13,6,519,3.53,
o17/ o17-s1,O17,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,",,"Defoliation,",,15,1,2,1,52,,2.5
AUTO CINDERELLA JACK! Dutch passion comp,Auto Cinderella Jack,Dutch Passion,310 watt,"BioBizz,",Manual,"Bio bizz light mix Grow Medium,",Paper Towel,,10.76,9,3,5,1,282,,
AMS seeds Waterside Gelato XTRM,Gelato Xtrm,Amsterdam Marijuana Seeds AMS,,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Directly In Substrate,"Kiss Method,Defoliation,",,19,4,84,58,999,76,529.11
#2: Sativa - Hybrid - Indica,Mexican Airlines Auto,Fast Buds,100 watt,"BioBizz,Canna,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,ScrOG,Defoliation,",10.76,9,1,26,12,629,0.74,
G13 Purple Haze,Purple Haze,G13 Labs,480 watt,"Fox Farm,",Manual,"Soil Grow Medium,",,"Defoliation,Pruning,LST,Lolipop,",,20,1,7,5,532,1.94,
Club High Life: Skysromer 2.0,Skystomper,Mephisto Genetics,"LED / 100W Custom,","Nature's Living Soil,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,",Other,,,1,,0,0,76,,
Ethos Genetics: Chem D Auto - Freebie,Ethos Genetics - Chem D Auto,Custom Breeder & Strain,"LED / 100W Custom,","Fish Head Farms,Plant Success (Plant Revolution),Cold War Organics,Microbe Life Hydro,South Cascade Organics,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,",Other,"Defoliation,ScrOG,",,11,2,2,2,343,,7.05
Amnesia haze auto,Amnesia Haze Automatic,Royal Queen Seeds,480 watt,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,",,"Defoliation,",,11,1,20,9,431,0.37,1.27
gorilla glue auto (first),Gorilla Glue Auto,Fast Buds,480 watt,"RQS Organic Nutrients,",Manual,"Gorilla Grow Tent GGT Shorty 4x8,Soil Grow Medium,",,,,11,1,22,5,504,0.25,0.88
Quiz Grow - 4 in 1,Dos Si Dos Auto,Barney'S Farm,400 watt,"Advanced Nutrients,BIOCANNA,Canna,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",,"LST,Defoliation,",21.53,9,1,2,1,694,,
Zami Fem_Garden 2022,Kalini Asia,Zamnesia Seeds,"LED / 250W Custom,LED / 450W Custom,","Guanokalong,Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Directly In Substrate,"Defoliation,ScrOG,LST,Topping,FIMing,Main-Lining,",,FLOWERING,,35,12,1402,,
Dynamighty Autoflower,Dynamighty Autoflower,Amsterdam Genetics,,"PLAGRON.,Bio Tabs,Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,Plagron Mega Worm Grow Medium,",,"LST,Defoliation,",,13,1,7,3,532,,0.35
Blue Amnesia Autoflower,Blue Amnesia Autoflower,Amsterdam Genetics,,"PLAGRON.,Bio Tabs,Canna,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",,13,1,14,3,608,,0.18
Devil Cream Auto 12/12,Devil Cream Auto®,Sweet Seeds,100 watt,"Blue Planet Nutrients,General Hydroponics (GHE),Botanicare,Fish Head Farms,Real Growers,",Manual,"CoolGrows GT 48x24x60,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"12-12 From Seed,LST,",6.56,11,1,25,8,659,0.53,
Seedsman Comparison Grow,Black Sugar,Seedsman,650 watt,"Growth Technology,Plant Success (Plant Revolution),Botanicare,General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 866 Advance Grow Tent 5x5 (60"" X 60"" X 80""),Soil Grow Medium,",Other,"ScrOG,Lollipopped,Topping,Lollipopping,",25,21,1,46,8,908,2.46,2.46
Mimosa Cake - My First Grow,Mimosa Cake Auto,Fast Buds,120 watt,,Manual,"Perlite Grow Medium,Peat Sphagnum Grow Medium,Worm Humus Grow Medium,",Paper Towel,"LST,Defoliation,HST,",4.31,12,2,53,19,912,,3.53
cali memory killer,Memory Loss,Archive Seed Bank,,"Dr. Earth,",Manual,"Soil Grow Medium,",,,,5,1,8,4,212,,11.32
Growing in the Amazon #6 - Aurora,Northern Lights Fem,Sensi Seeds,120 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",6.89,18,1,62,36,564,,15.87
Red Pop,Red Pop,Exotic Genetix,510 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"Defoliation,",,13,,42,10,706,,
Dedoverde haze Humboldt,Dedoverde Haze,Humboldt Seed Organization,300 watt,"Advanced Nutrients,",Manual,,Paper Towel,"LST,Topping,",10.76,14,3,145,72,823,,33.86
KmintZ Clone Phenotype #1,Kmintz,Ripper Seeds,410 watt,"Green House Feeding,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,",,"Topping,",15.5,19,1,40,18,1020,1.69,1.87
First auto kong 4,Auto Kong 4,Paradise Seeds,60 watt,"PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,Defoliation,",4.31,9,1,5,2,206,0.35,0.35
Northen Lights - Photo - 27x27x63 - 240w,Northen Lights,Custom Breeder & Strain,240 watt,"Root Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"Photoperiod,Topping,Defoliation,LST,",5.1,16,1,8,2,522,7.8,38.52
First Grow: MoC Autos Outdoor,Auto CBD Star,Ministry Of Cannabis,,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Directly In Substrate,"Tie down method,LST,",,9,1,2,5,256,,1
Sealed grow organic Barney’s farm,Dos Si Dos 33,Barney'S Farm,995 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,"ScrOG,Topping,",,9,2,7,7,522,,3
Delicious Girl Scout Cookies Auto - BSF,Girl Scout Cookies Auto,BSF Seeds,310 watt,"Hesi,Top Crop,Boom Nutrients,Atami,Growth Technology,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,Coco Coir Grow Medium,",Other,"LST,Defoliation,",15.5,14,3,242,164,1106,2.86,16.05
Grape Gushers- TasteBudz,Grape Gushers Auto,Tastebudz Genetics,100 watt,"Fox Farm,Botanicare,Advanced Nutrients,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,",Paper Towel,"Defoliation,ScrOG,LST,",13.12,13,1,15,8,1008,3.35,16
POTG Auto,Planet Of The Grapes Auto,ETHOS Genetics,300 watt,"General Hydroponics (GHE),Earth Juice,Botanicare,Age Old Organics,",Manual,"Soil Grow Medium,Fox Farms Happy Frog Grow Medium,",Glass Of Water,"LST,Defoliation,",8,12,2,52,26,1263,6.1,
Strawberry Cheesecake,Strawberry Cheesecake Auto,Seedsman,600 watt,"Athena,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,Defoliation,",3,8,1,36,13,299,0.62,3.53
1st attempt Street Seed,[BR] Kunk,Custom Breeder & Strain,60 watt,,Manual,"Vermiculite Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,ScrOG,",6.46,18,1,3,12,176,,1.94
Monster Cropped Clones,Gorilla Cooki,Custom Breeder & Strain,220 watt,"Fox Farm,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"Monster crop,HST,LST,Defoliation,",19.69,10,1,5,7,191,2.12,3.53
22 11Roses x Triple XL,11Roses x Triple XL Auto,Custom Breeder & Strain,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compos Grow Medium,",Glass Of Water,"Main-Lining,HST,",,22,3,7,3,143,11.11,43.99
22 Quebec Blast,Quebec Blast,Quebec Cannabis Seeds QCS,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"HST,Main-Lining,",,23,1,28,6,411,4.16,15.63
First grow - Purple Lemonade,Purple Lemonade Auto,Fast Buds,,"Fox Farm,Advanced Nutrients,Neptune's Harvest,",Manual,"Fox farms ocean Grow Medium,",Paper Towel,"LST,",,9,1,52,17,936,0.25,1.4
22 Peanut Butter Herijuana,Peanut Butter Herijuana- Lucky13 seeds,Custom Breeder & Strain,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",,"Main-Lining,HST,",,22,2,11,5,512,7.05,27.87
2022 FastBuds/Barney’s Grow,Banana Purple Punch Auto,Fast Buds,200 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,Custom,10,1,10,7,1582,,3.53
Haze Pheno Hunt - regular,Amnesia Haze Regular,Royal Queen Seeds,,"PLAGRON.,B.A.C.,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Light Deprivation,Defoliation,Topping,",,23,3,63,34,678,6.21,
Regular CBD Stains + Bonus,CBD Panties,Custom Breeder & Strain,165 watt,"FloraFlex,",Drip,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,,10.76,18,2,8,1,182,,0.04
Glue gun by papa seeds,Glue gun,Custom Breeder & Strain,300 watt,"Green Planet Nutrients,",Manual,"GA Grow Tent GT 40x40x80,Pro mix bx Grow Medium,",Directly In Substrate,"Lollipoping,Topping,Defoliation,",2.69,18,1,5,8,322,4.3,
Zkittles rocket seeds,Zkittles,Custom Breeder & Strain,300 watt,"Green Planet Nutrients,",Manual,"GA Grow Tent GT 40x40x80,Pro mix bx Grow Medium,",Directly In Substrate,"Lollipoping,Topping,Defoliation,",5.38,17,1,7,5,227,5.86,
Atlas Seeds - Gummibears 2,Froot by the Foot,Atlas Seed,240 watt,,Manual,"CoolGrows GT 96x48x80,Soil Grow Medium,",,"LST,",25.83,13,1,7,4,427,,
Ganja Farmer N 11 Caramel Auto,Caramel Auto,Ganja Farmer Seeds,465 watt,"Aptus,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",8.61,10,1,86,59,359,6.28,17.28
Royal Queen Seeds White Widow Automatics,White Widow Automatic,Royal Queen Seeds,340 watt,"Hesi,",Manual,"Soil Grow Medium,Perlite Grow Medium,Schwarztorf Grow Medium,Mulch Grow Medium,",,"12-12 From Seed,LST,HST,ScrOG,FIMing,Defoliation,18-6 Lichtzyklus,",13.35,10,3,20,8,549,3,4.06
Formula One Plus: DWC Small Batch,Formula One Plus - EC Genetics,Custom Breeder & Strain,450 watt,"Remo Nutrients,General Hydroponics (GHE),Advanced Nutrients,",Hydroponics,"Expanded Clay Grow Medium,",Peat Pellet,"Defoliation,ScrOG,",,11,1,40,12,373,5.57,
Pineapple Skunk: DWC Small Batch,Pineapple Skunk - EC Genetics,Custom Breeder & Strain,300 watt,"Remo Nutrients,General Hydroponics (GHE),Advanced Nutrients,",Hydroponics,"Expanded Clay Grow Medium,",Peat Pellet,"FIMing,Defoliation,ScrOG,",,10,2,29,21,198,1.76,
EARLY grow | OUTDOOR Italy 2022,Amnesia Haze Automatic,Royal Queen Seeds,,"PLAGRON.,",,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,12,,25,15,549,0.16,
Ep.1 | ~CHRONICLES of PURPLE~ | FastBuds,Blackberry Auto,Fast Buds,,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,LST,",,11,1,33,23,653,0.16,0.28
"*CONTEST* ""Ganja Farmer"" #1 | OUTDOOR",White Widow Auto,Ganja Farmer Seeds,,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"LST,",,10,1,27,15,766,0.11,0.21
"*CONTEST* ""Ganja Farmer"" #2 | OUTDOOR",Ganja Skunk Auto,Ganja Farmer Seeds,,"PLAGRON.,",Manual,,Paper Towel,"LST,",,10,1,47,20,392,0.11,0.21
XXX 3,XXX,ETHOS Genetics,600 watt,"Fox Farm,General Hydroponics (GHE),",Manual,"HID / 600W 600 Watt MH Conversion Grow Bulb,Soil Grow Medium,",Paper Towel,"Topping,LST,Defoliation,HST,",19.69,13,1,24,13,477,,311
EARLY grow | OUTDOOR Italy 22 | ZAMNESIA,Amnesia Skunk Automatic,Zamnesia Seeds,,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,13,1,26,12,503,0.3,0.6
Auto ultimate monito,Auto Ultimate,Dutch Passion,"LED / 320W F320,","Advanced Nutrients,",,"Soil Grow Medium,",,"LST,Defoliation,",10.76,11,1,46,15,728,,3.88
Blue Dream Humboldt,Blue Dream,Humboldt Seed Organization,300 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,HST,LST,",10.76,14,1,162,109,1718,3.63,19.93
Northern Light [legal & organic],Northern Light Automatic,Royal Queen Seeds,,"PLAGRON.,",Manual,"Other Grow Medium,",Peat Pellet,"Defoliation,LST,",,15,1,23,9,892,0.5,1.83
Sea of Azure - Blueberry Mysteries,Blue,Custom Breeder & Strain,260 watt,"General Hydroponics (GHE),Nature's Living Soil,",Manual,"Soil Grow Medium,Living Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,SoG,Defoliation,",26.25,14,5,10,1,141,1.34,1.59
Tropicanna Poison Sweet Seeds,Tropicanna Poison F1 Fast Version,Sweet Seeds,1350 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",21.53,14,1,265,89,3584,3.49,10.58
Outdoor Critical mass,Critical Mass,ILGM,,"Real Growers,",,"Soil Grow Medium,",,"LST,Topping,",,25,1,77,23,1026,16.5,150
White Widow and Bruce Banner,White Widow X Crystal Meth Autoflower,Crop King Seeds,,,Manual,"Soil Grow Medium,",,,,19,2,0,0,989,,
FruitWalker 6,FruitWalker,Custom Breeder & Strain,,,Manual,,,,,20,,86,37,194,,7.34
Forbidden Runtz,Forbidden Runtz Auto,Fast Buds,240 watt,"BioBizz,",Manual,"Soil Grow Medium,",Directly In Substrate,,Custom,9,3,11,6,1253,,
22 Moby wan Chemoby,Moby wan Chemoby,Custom Breeder & Strain,,"Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",Glass Of Water,"FIMing,",,14,3,5,3,244,4.23,16.23
Ganja farmer seeds 1/9,Ganja Skunk Auto,Ganja Farmer Seeds,,"Element Nutrients,Humboldts Secret,",Manual,"Miricle grow potting soil Grow Medium,",Directly In Substrate,"LST,",,8,1,136,73,416,,
Fat Cat Labs,Clair-mel orange,Custom Breeder & Strain,,"Element Nutrients,Humboldts Secret,",Manual,"Miricle grow potting mix Grow Medium,",,"Topping,Defoliation,",,15,1,60,54,477,0.85,
[Contest] Cheese XL Auto,Cheese XL Auto,Ganja Farmer Seeds,300 watt,"Atami,BioBizz,RQS Organic Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,,,9,1,11,4,162,,0.88
Night Owl Tester,Grape Crinkle x Cosmic Queen,Night Owl Seeds,,"Dr. Earth,Real Growers,",Manual,"Soil Grow Medium,",Directly In Substrate,,82.02,10,1,3,2,213,,3
MARS HYDRO FC-E3000 CAPTAIN FUTURE,Captain Future,Anesia Seeds,540 watt,"BIOCANNA,Canna,Aptus,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,Other Grow Medium,",Glass Of Water,"ScrOG,LST,Topping,Defoliation,",3.23,19,1,48,22,728,,100.53
Spring-Summer Second Run Mixed Strains,Hulkberry,Royal Queen Seeds,630 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Directly In Substrate,"LST,Defoliation,",15.5,10,2,49,12,2076,5.61,
Captain Future,Captain Future,Anesia Seeds,200 watt,"Green Buzz Nutrients,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,Defoliation,",10.76,12,1,21,18,1006,2.12,6.35
Raccolta Moby Dick,Moby Dick Auto,Barney'S Farm,"LED / 300W LUMATEK Attis 300W,",,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1076.39,16,2,5,3,911,,
Photos & Autos,Runtz Auto,Barney'S Farm,800 watt,"Green Planet Nutrients,",Manual,"Gorilla Grow Tent GGT 2x4,coco Grow Medium,",Glass Of Water,"Topping,LST,FIMing,Defoliation,",9.26,14,1,13,9,1505,,
"First Grow, 3 Plants [Auto]",AK 47 autoflower seeds,Weedseedsexpress,"LED / 300W BP3000,","Advanced Nutrients,General Hydroponics (GHE),Bloom City Organics,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,ScrOG,LST,",419.95,14,1,25,12,866,4.02,4.02
DWC Crystal Candy,Crystal Candy XL Auto,Sweet Seeds,70 watt,"General Hydroponics (GHE),",Hydroponics,"Expanded Clay Grow Medium,Mineral Wool Grow Medium,",Rockwool Cube,"LST,",6.89,13,2,38,21,963,4.06,15.52
DNA - OG kush,OG Kush,Reserva Privada,315 watt,"Advanced Nutrients,Intense Nutrients,",Manual,"Soil Grow Medium,",Other,,10.76,10,,52,2,549,,
Kosher Haze,Kosher Haze,Super Sativa Seed Club,315 watt,"Advanced Nutrients,Grotek,Guanokalong,Intense Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,LST,",10.76,14,2,87,9,405,1.62,
Sugar Bomb Punch,Sugar Bomb Punch,Dutch Passion,315 watt,"Advanced Nutrients,Grotek,Guanokalong,Intense Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,LST,",10.76,14,2,111,16,782,,
Fullgas,FullGas,Green House Seed Co.,,"Green House Feeding,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"Defoliation,Topping,HST,",,17,1,5,8,1177,,3.53
Purple OG Punch,Purple OG Punch,Ganja Farmer Seeds,315 watt,"Advanced Nutrients,Intense Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,",10.76,13,3,89,6,390,,
Gorilla Hands ️,Gorilla Hands,Custom Breeder & Strain,510 watt,,Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"Defoliation,",,8,,9,3,214,,
Back to the Future 2,Back To The Future #2 Fem,Tastebudz Genetics,510 watt,,Manual,"Soil Grow Medium,",,,,8,2,20,7,575,,
Wedding Cake Philosopher Seeds,Wedding Cake Auto,Philosopher Seeds,615 watt,"BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",15.5,11,3,2,5,430,7.16,
Dean14kernowLabs,Poi,Custom Breeder & Strain,,"Canna,Plant Magic,Plant Success (Plant Revolution),",Manual,"Coco Coir Grow Medium,",,"HST,LST,Defoliation,",,11,,49,11,166,,
Gorilla Glue Fastbuds,Gorilla Glue Auto,Fast Buds,615 watt,"BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",15.5,12,3,8,3,807,5.29,
Purple Punch Fastbuds,Purple Punch Auto,Fast Buds,615 watt,"BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",15.5,12,3,14,3,942,6.6,
Experiment,00 Kush Fast,00seeds,,,Aeroponics,"Soil Grow Medium,",,,,9,1,1,0,99,,0.14
First living soil,Tropicanna Poison F1 Fast Version,Sweet Seeds,540 watt,"Bio Tabs,PLAGRON.,",Manual,,Paper Towel,"ScrOG,Defoliation,Topping,HST,FIMing,LST,",Custom,15,,24,24,717,0.71,
Wedding Cake,Wedding Cake,Linda Seeds,240 watt,"T-REX,Purpinator,",Manual,,,"ScrOG,",10.76,11,1,2,0,558,4.13,4.13
Cali Crasher - semi outdoor grow.,Cali Crasher,Doctor'S Choice,,"Hesi,Shogun,Buddhas Tree,CX-Horticulture,",,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",,15,1,218,113,986,3.14,
Girl Scout Cookies,Girl Scout Cookies Fem,Seedstockers,245 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,Defoliation,LST,",,15,1,14,7,607,3.17,
Fastbuds grow,Amnesia Zkittlez Auto,Fast Buds,3000 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,ScrOG,",,8,1,7,4,232,,4.3
Fastbuds grow,Cherry Cola Auto,Fast Buds,3000 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,SoG,",,8,1,7,3,243,,6.2
Fastbuds grow,Forbidden Runtz Auto,Fast Buds,3000 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,",,8,1,11,4,283,,5.8
Gorilla zkittles,Gorilla Zkittlez Auto,Fast Buds,100 watt,"Buddhas Tree,PLAGRON.,Growth Technology,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",4.92,11,1,36,12,1083,1.02,1
Columbian jack,Colombian Jack,Kannabia Seed Company,430 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",,10,,44,24,588,,
Cultivo anterior,Northern Light,The Bulldog Seeds,600 watt,,Manual,"Other Grow Medium,",Paper Towel,"Defoliation,ScrOG,",Custom,5,13,3,2,766,,
Purple Nuggets,Strawberry Nuggets,Mephisto Genetics,640 watt,"Fox Farm,Fish Head Farms,Terpinator,Advanced Nutrients,",Manual,"Promix HP Grow Medium,",,"Defoliation,",52.49,14,1,23,3,620,1.77,
Caramel Cream auto,Caramel Cream Autoflower,Humboldt Seed Company,680 watt,,Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",,10,5,3,6,519,,6.35
LSD Barney's Farm,LSD-Feminsed,Barney'S Farm,480 watt,"BioBizz,",Manual,"Light mix soil Grow Medium,",Other,"ScrOG,LST,",10.76,14,1,16,12,1666,10.58,59.97
BLACKBERY GUM,Blackberry Gum,Seedstockers,320 watt,,Manual,"Soil Grow Medium,",,,10.76,11,1,6,0,767,,1.73
Strayfox Iraqi Banger - DWC,Strayfox Gardenz - Iraqi Banger,Custom Breeder & Strain,270 watt,"Botanicare,General Hydroponics (GHE),Plant Success (Plant Revolution),South Cascade Organics,Remo Nutrients,",Hydroponics,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Other Grow Medium,",,"Topping,",9.84,15,1,44,38,781,,5.29
Outdoor Blue Haze,Blue Haze,ILGM,,"Real Growers,",Manual,"Soil Grow Medium,",,"Topping,",,24,1,40,12,353,4,12
Zkittlez Auto FASTBUDS,Zkittlez Auto,Fast Buds,640 watt,"Advanced Nutrients,Botanicare,Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,"LST,",43.06,14,1,23,16,1436,,
Fast Buds Cinderella,Cinderella Auto,Fast Buds,1000 watt,,Manual,"AC Infinity Cloudlab 816 Advance Grow Tent 10x5 (120"" X 60"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,",,13,1,17,8,682,,
Fast Buds Amnesia Zkittles,Amnesia Zkittlez Auto,Fast Buds,1000 watt,,Manual,"AC Infinity Cloudlab 816 Advance Grow Tent 10x5 (120"" X 60"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,",,13,1,19,6,655,,
Fast Buds Orange Sherbet,Orange Sherbet Auto,Fast Buds,1000 watt,,Manual,"AC Infinity Cloudlab 816 Advance Grow Tent 10x5 (120"" X 60"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,",,13,1,24,4,618,,
Fast Buds Kosher Cake,Kosher Cake Auto,Fast Buds,1000 watt,,Manual,"AC Infinity Cloudlab 811 Advance Grow Tent 10x10 (120"" X 120"" X 80""),Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,",,13,1,29,6,426,,
Skunk #1 Automatic 100w,Skunk #1 Automatic,Sensi Seeds,100 watt,"Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Peat Pellet,"SoG,ScrOG,Topping,LST,Defoliation,",,14,4,14,8,1015,9.17,9.17
BANANA PURPLE PUNCH AUTO,Banana Purple Punch Auto,Fast Buds,200 watt,"BioBizz,Advanced Nutrients,",Manual,"SOIL BIO BIZZ ALL MIX 2/3 Grow Medium,SOIL BIO BIZZ LIGHT 1/3 ON THE TOP Grow Medium,",Directly In Substrate,,6.03,11,1,146,22,1771,0.56,
Hvyweight DWC 2de ronde,HvyWeight,Hy-Seeds,86 watt,"Atami,Green House Feeding,B.A.C.,",Hydroponics,"DWC Grow Medium,",Other,"Topping,ScrOG,",6.46,17,1,9,4,1366,3.53,16.37
Chemdawg 3rd run fastbuds,Chemdawg Auto,Fast Buds,310 watt,"BioBizz,",Manual,"Plagron lightmix Grow Medium,",Glass Of Water,,10.76,8,2,3,0,200,,
Cali Gelato Ganja farmer seeds,Cali Gelato Auto,Ganja Farmer Seeds,310 watt,"BioBizz,",Manual,"Biobizz lightmix Grow Medium,",Glass Of Water,,10.76,8,3,11,4,192,3.53,
Bubble hash/fastbud,Wedding Glue Auto,Fast Buds,,,,,,,,16,4,12,2,963,,
2 Auto Kong +1 Banana Kush Cake,Auto Kong 4,Paradise Seeds,225 watt,"BIOCANNA,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Rockwool Cube,"Defoliation,",6.89,9,1,11,7,822,,6.14
Alien Gorilla,Alien Gorilla,Original Sensible Seeds,200 watt,"Green Buzz Nutrients,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,Defoliation,",10.76,14,2,38,15,577,5.29,13.4
OG 13 G13lab,OG13,G13 Labs,240 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",,"Topping,FIMing,",Custom,16,1,13,10,402,7.41,33.83
"""B+"" Bloody Skunk Auto 12/12",Bloody Skunk Auto®,Sweet Seeds,100 watt,"Blue Planet Nutrients,General Hydroponics (GHE),Botanicare,Fish Head Farms,Real Growers,",Manual,"CoolGrows GT 48x24x60,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"12-12 From Seed,LST,",6.56,11,1,19,4,707,0.53,1.76
Gorilla Glue x 3,Gorilla GG4 Auto,Ganja Farmer Seeds,,"General Hydroponics (GHE),Purpinator,",Manual,"Soil Grow Medium,",Paper Towel,,,10,3,12,4,354,,3.53
OG Kush Kiwi Organic Soil Grow,OG Kush,Dinafem,450 watt,,Manual,"AC Infinity Cloudlab 894 Advance Grow Tent 8x4 (96"" X 48"" X 80""),Soil Grow Medium,",,"LST,Topping,Defoliation,",15.5,5,1,23,6,351,3.6,
